%  Exponential fit  Data
%  Hans Bruun Nielsen,  IMM, DTU.  99.03.10

   0.020    0.090542
   0.040    0.124569
   0.060    0.179367
   0.080    0.195654
   0.100    0.269707
   0.120    0.286027
   0.140    0.289892
   0.160    0.317475
   0.180    0.308191
   0.200    0.336995
   0.220    0.348371
   0.240    0.321337
   0.260    0.299423
   0.280    0.338972
   0.300    0.304763
   0.320    0.288903
   0.340    0.300820
   0.360    0.303974
   0.380    0.283987
   0.400    0.262078
   0.420    0.281593
   0.440    0.267531
   0.460    0.218926
   0.480    0.225572
   0.500    0.200594
   0.520    0.197375
   0.540    0.182440
   0.560    0.183892
   0.580    0.152285
   0.600    0.174028
   0.620    0.150874
   0.640    0.126220
   0.660    0.126266
   0.680    0.106384
   0.700    0.118923
   0.720    0.091868
   0.740    0.128926
   0.760    0.119273
   0.780    0.115997
   0.800    0.105831
   0.820    0.075261
   0.840    0.068387
   0.860    0.090823
   0.880    0.085205
   0.900    0.067203
